Vacancy Created By,Reason,Vacancy Date,Nominee,Nomination,Circuit,CT,date,** Nominee
"Leval, Pierre N.",Senior,2002-08-16,,,CCA,Second Circuit,2003-01-08,
"Platt, Thomas C.",Senior,2001-02-01,,2002-07-25,NY-E,Second Circuit,2003-01-08,"Feuerstein, Sandra J."
"Raggi, Reena",Elevated,2002-09-20,,,NY-E,Second Circuit,2003-01-08,
"McKenna, Lawrence",Senior,2002-05-24,,,NY-S,Second Circuit,2003-01-08,
"Parker, Barrington D. Jr.",Elevated,2001-10-11,,2002-08-01,NY-S,Second Circuit,2003-01-08,"Holwell, Richard J."
"Greenberg, Morton I.",Senior,2000-06-30,,,CCA,Third Circuit,2003-01-08,
"Mansmann, Carol Los",Deceased,2002-03-09,,,CCA,Third Circuit,2003-01-08,
"Smith, D. Brooks",Elevated,2002-07-31,,,PA-W,Third Circuit,2003-01-08,
"Standish, William L.",Senior,2002-03-01,,,PA-W,Third Circuit,2003-01-08,
"Ervin, Sam J. III",Deceased,1999-09-18,,,CCA,Fourth Circuit,2003-01-08,
"Murnaghan, Francis",Deceased,2000-08-31,,,CCA,Fourth Circuit,2003-01-08,
"Phillips, J. Dickson Jr.",Senior,1994-07-31,,2001-09-04,CCA,Fourth Circuit,2003-01-08,"Boyle, Terrence W."
"Nickerson, William M.",Senior,2002-06-11,,2002-09-12,MD,Fourth Circuit,2003-01-08,"Quarles, William D. Jr"
"Britt, W. Earl",Senior,1997-12-07,,2002-05-22,NC-E,Fourth Circuit,2003-01-08,"Dever, James C. III"
"Fox, James C.",Senior,2001-01-31,,,NC-E,Fourth Circuit,2003-01-08,
"Shedd, Dennis W.",Elevated,2002-11-19,,,SC,Fourth Circuit,2003-01-08,
"Turk, James C.",Senior,2002-11-02,,,VA-W,Fourth Circuit,2003-01-08,
"Garwood, William L.",Senior,1997-01-23,"Owen, Priscilla Richman",2001-09-04,CCA,Fifth Circuit,2003-01-08,
"Parker, Robert M.",Retired,2002-11-01,,,CCA,Fifth Circuit,2003-01-08,
"Politz, Henry A.",Senior,1999-08-10,"Pickering, Charles W. Sr.",2001-09-04,CCA,Fifth Circuit,2003-01-08,
"Little, F.A. Jr",Senior,2002-05-30,,,LA-W,Fifth Circuit,2003-01-08,
"Trimble, James T. Jr",Senior,2002-09-13,,,LA-W,Fifth Circuit,2003-01-08,
