Court,Incumbent,Vacancy Reason,Vacancy Date,Nominee,Nomination Date
01 - MA,"Wolf,Mark L.",Senior,01/01/2013,,
01 - MA,"Ponsor,Michael A.",Senior,08/15/2011,,
01 - NH,"McAuliffe,Steven J.",Senior,04/01/2013,,
01 - PR,"Dominguez,Daniel R.",Senior,07/31/2011,,
02 - CT,"Kravitz,Mark R.",Deceased,10/01/2012,,
02 - NYS,"Jones,Barbara S.",Retired,12/31/2012,,
02 - NYS,"Batts,Deborah A.",Senior,04/13/2012,"Broderick,Vernon S.",04/15/2013
02 - NYS,"Holwell,Richard J",Resigned,02/07/2012,"Caproni,Valerie E",01/04/2013
02 - NYS,"Berman,Richard M.",Senior,09/11/2011,"Roman,Nelson Stephen",01/04/2013
02 - NYW,"Siragusa,Charles J.",Senior,12/15/2012,,
03 - PAE,"Bartle III,Harvey",Senior,10/01/2011,,
03 - PAE,"Joyner,J. Curtis",Senior,05/01/2013,,
03 - PAE,"Baylson,Michael M.",Senior,07/13/2012,,
03 - PAE,"Schiller,Berle M.",Senior,06/18/2012,,
03 - PAE,"Surrick,R. Barclay",Senior,02/01/2011,"Quinones Alejandro,Nitza I.",01/04/2013
03 - PAE,"Brody,Anita B.",Senior,06/08/2009,"Restrepo,Luis Felipe",01/04/2013
03 - PAE,"Golden,Thomas M.",Deceased,07/31/2010,"Schmehl,Jeffrey L.",01/04/2013
03 - PAW,"Lancaster,Gary L.",Deceased,04/24/2013,,
04 - NCE,"Howard,Malcolm J.",Senior,12/31/2005,,
04 - SC,"Seymour,Margaret B.",Senior,01/16/2013,,
05 - CCA,"Garza,Emilio M.",Senior,08/01/2012,,
05 - CCA,"Benavides,Fortunato P.",Senior,02/03/2012,,
05 - LAM,"Tyson,Ralph E.",Deceased,07/18/2011,"Dick,Shelly Deckert",01/04/2013
05 - MSN,"Pepper Jr.,W. Allen",Deceased,01/24/2012,,
05 - TXE,"Ward,T. John",Retired,10/01/2011,,
05 - TXE,"Folsom,David",Retired,03/17/2012,,
05 - TXS,"Jack,Janis Graham",Senior,06/01/2011,,
05 - TXS,"Hoyt,Kenneth M.",Senior,03/02/2013,,
05 - TXS,"Tagle,Hilda G.",Senior,12/31/2012,,
05 - TXW,"Furgeson Jr.,W. Royal",Senior,11/30/2008,,
06 - KYE,"Coffman,Jennifer B.",Retired,01/08/2013,,
06 - KYW,"Simpson III,Charles R.",Senior,02/01/2013,,
06 - KYW,"Russell,Thomas B.",Senior,11/15/2011,,
06 - MIE,"Edmunds,Nancy G.",Senior,08/01/2012,,
06 - MIE,"Steeh III,George Caram",Senior,01/29/2013,,
06 - MIE,"Cleland,Robert H.",Senior,03/01/2013,,
06 - MIE,"Battani,Marianne O.",Senior,06/09/2012,,
07 - CCA,"Evans,Terence T.",Senior,01/07/2010,,
07 - ILN,"Lefkow,Joan Humphrey",Senior,09/01/2012,,
07 - ILN,"Gottschall,Joan B.",Senior,04/23/2012,,
07 - ILN,"Hibbler,William J.",Deceased,03/19/2012,,
07 - WIE,"Clevert Jr.,Charles N.",Senior,10/31/2012,,
07 - WIW,"Shabaz,John C.",Senior,01/20/2009,,
08 - ARW,"Hendren,Jimm Larry",Senior,12/31/2012,,
08 - MOW,"Dorr,Richard E.",Deceased,04/24/2013,,
09 - AZ,"Martone,Frederick J.",Senior,01/30/2013,,
09 - AZ,"Bury,David C.",Senior,12/31/2012,,
09 - AZ,"Murguia,Mary H.",Elevated,01/03/2011,,
09 - AZ,"Teilborg,James A.",Senior,01/30/2013,,
09 - AZ,"Zapata,Frank R.",Senior,08/03/2010,"Marquez,Rosemary",01/04/2013
09 - CAE,"Ishii,Anthony W.",Senior,10/31/2012,,
09 - CAN,Position Open,New Position,10/03/2011,,
09 - CAN,"Ware,James",Retired,08/31/2012,,
09 - CAN,"Breyer,Charles R.",Senior,12/31/2011,"Orrick III,William H.",01/04/2013
09 - CAS,"Gonzalez,Irma E.",Senior,03/29/2013,,
09 - CCA,"Trott,Stephen S.",Senior,12/31/2004,,
09 - CCA,"Fisher,Raymond C.",Senior,04/01/2013,,
09 - MT,"Cebull,Richard F.",Senior,03/18/2013,,
09 - MT,"Haddon,Sam E.",Senior,12/31/2012,,
09 - NV,"Pro,Philip M.",Senior,12/31/2011,,
09 - NV,"Hicks,Larry R.",Senior,12/13/2012,"Dorsey,Jennifer A.",01/04/2013
09 - OR,"Hogan,Michael R.",Senior,09/24/2011,"McShane,Michael J.",01/04/2013
09 - WAE,"Shea,Edward F.",Senior,06/07/2012,,
10 - CCA,"Tacha,Deanell Reece",Senior,01/27/2011,,
10 - CCA,"Murphy,Michael R.",Senior,12/31/2012,,
10 - CCA,"O'Brien,Terrence L.",Senior,04/30/2013,"Phillips,Gregory Alan",01/31/2013
10 - KS,"Lungstrum,John W.",Senior,11/02/2010,,
