Court,Incumbent,Vacancy Reason,Vacancy Date,Nominee,Nomination Date
01 - MA,"Woodlock,Douglas P.",Senior,06/01/2015,,
01 - ME,"Woodcock Jr.,John A.",Senior,06/27/2017,,
01 - PR,"Fuste,Jose Antonio",Retired,06/01/2016,,
01 - RI,"Lisi,Mary M.",Senior,10/01/2015,,
02 - CCA,"Lynch,Gerard E.",Senior,09/05/2016,,
02 - CCA,"Wesley,Richard C.",Senior,08/01/2016,,
02 - CT,"Chatigny,Robert N.",Senior,01/01/2017,,
02 - NY-E,"Gleeson,John",Resigned,03/09/2016,,
02 - NY-E,"Feuerstein,Sandra J.",Senior,01/21/2015,,
02 - NY-E,"Vitaliano,Eric N.",Senior,02/28/2017,,
02 - NY-E,"Amon,Carol Bagley",Senior,11/30/2016,,
02 - NY-N,"Sharpe,Gary L.",Senior,01/01/2016,,
02 - NY-S,"Preska,Loretta A.",Senior,03/01/2017,,
02 - NY-S,"Castel,P. Kevin",Senior,08/05/2017,,
02 - NY-S,"Crotty,Paul A.",Senior,08/01/2015,,
02 - NY-W,"Skretny,William M.",Senior,03/08/2015,,
03 - CCA,"Fisher,D. Michael",Senior,02/01/2017,,
03 - CCA,"Fuentes,Julio M.",Senior,07/18/2016,,
03 - DE,"Sleet,Gregory M.",Senior,05/01/2017,,
03 - DE,"Robinson,Sue L.",Senior,02/03/2017,,
03 - NJ,"Martini,William J.",Senior,02/10/2015,,
03 - NJ,"Hochberg,Faith S.",Retired,03/06/2015,,
03 - NJ,"Simandle,Jerome B.",Senior,05/31/2017,,
03 - PA-E,"Gardner,James Knoll",Senior,04/03/2017,,
03 - PA-E,"Restrepo,Luis Felipe",Elevated,01/11/2016,,
03 - PA-E,"McLaughlin,Mary A.",Senior,11/18/2013,,
03 - PA-E,"Davis,Legrome D.",Senior,09/28/2017,,
03 - PA-W,"Cercone,David Stewart",Senior,11/24/2017,,
03 - PA-W,"McVerry,Terrence F.",Senior,09/30/2013,,
03 - PA-W,"Gibson,Kim R.",Senior,06/03/2016,,
03 - PA-W,"Lancaster,Gary L.",Deceased,04/24/2013,,
03 - PA-W,"McLaughlin,Sean J.",Resigned,08/16/2013,,
04 - MD,"Quarles Jr.,William D.",Retired,02/01/2016,,
04 - NC-E,"Howard,Malcolm J.",Senior,12/31/2005,"Farr,Thomas Alvin",07/13/2017
04 - NC-W,"Voorhees,Richard L.",Senior,08/31/2017,,
04 - SC,"Currie,Cameron McGowan",Senior,10/03/2013,"Quattlebaum Jr.,A. Marvin",08/03/2017
04 - VA-E,"Lee,Gerald Bruce",Retired,09/30/2017,,
04 - WV-N,"Keeley,Irene M.",Senior,08/12/2017,,
05 - CCA,"Jolly,E. Grady",Senior,10/03/2017,,
05 - CCA,"Davis,W. Eugene",Senior,12/31/2016,"Duncan,Stuart Kyle",10/02/2017
05 - CCA,"King,Carolyn Dineen",Senior,12/31/2013,"Ho,James C.",10/16/2017
05 - CCA,"Garza,Emilio M.",Senior,08/01/2012,"Willett,Don R.",10/03/2017
05 - LA-E,"Berrigan,Helen G.",Senior,08/23/2016,,
05 - LA-E,"Lemelle,Ivan L.",Senior,06/29/2015,"Ashe,Barry W.",10/02/2017
05 - LA-W,"Minaldi,Patricia H.",Senior,07/31/2017,,
05 - LA-W,"Drell,Dee D.",Senior,11/30/2017,,
05 - LA-W,"Doherty,Rebecca F.",Senior,06/05/2017,,
05 - LA-W,"James,Robert G.",Senior,05/31/2016,"Doughty,Terry A.",08/03/2017
05 - LA-W,"Haik,Richard T.",Senior,03/06/2015,"Juneau,Michael Joseph",08/03/2017
05 - TX-E,"Schneider,Michael H.",Senior,01/07/2016,,
05 - TX-E,"Davis,Leonard E.",Retired,05/15/2015,,
05 - TX-E,"Schell,Richard A.",Senior,03/10/2015,"Mateer,Jeffrey Carl",09/07/2017
05 - TX-N,"Cummings,Samuel Ray",Senior,12/31/2014,,
05 - TX-N,"Means,Terry",Senior,07/03/2013,,
05 - TX-N,"Robinson,Mary Lou",Senior,02/03/2016,"Kacsmaryk,Matthew J.",09/07/2017
05 - TX-N,"Solis,Jorge A.",Retired,05/01/2016,"Scholer,Karen Gren",09/07/2017
05 - TX-S,"Jack,Janis Graham",Senior,06/01/2011,,
05 - TX-S,"Costa,Gregg Jeffrey",Elevated,05/20/2014,"Rodriguez Jr.,Fernando",09/07/2017
05 - TX-W,"Smith Jr.,Walter S.",Retired,09/14/2016,,
05 - TX-W,"Junell,Robert A.",Senior,02/13/2015,"Counts III,Walter David",09/11/2017
